Index,Region,State,County,Population,% College Grad,Income per Capita,Employees,Retail Sales,Median Rent
99,East North Central,IL,Williamson,59750,14.2,16313,16704,518630,210
100,East North Central,IL,Winnebago,264952,16.7,20072,122990,2089622,301
101,East North Central,IL,Woodford,34576,15.4,18981,6457,168978,244
102,East North Central,IN,Adams,32311,10.7,16588,11493,246374,229
103,East North Central,IN,Allen,308503,19,21498,161360,2702905,320
104,East North Central,IN,Bartholomew,68065,16.9,21302,37543,528913,305
105,East North Central,IN,Benton,9703,9.2,17680,1828,39194,196
106,East North Central,IN,Blackford,14162,8.9,15910,3393,64921,181
107,East North Central,IN,Boone,41813,22.2,23747,9615,223693,297
108,East North Central,IN,Brown,15098,15.2,17203,2014,50504,278
109,East North Central,IN,Carroll,19505,10,17817,3952,74719,210
110,East North Central,IN,Cass,38584,9,17608,14524,248535,219
111,East North Central,IN,Clark,91826,11.2,18054,33464,910990,285
112,East North Central,IN,Clay,26306,9.8,15963,5412,199220,197
113,East North Central,IN,Clinton,32594,11,17282,9416,149214,241
114,East North Central,IN,Crawford,10442,5.7,12978,1012,32843,142
115,East North Central,IN,Daviess,28603,7.6,15406,8086,183872,188
116,East North Central,IN,De Kalb,37955,9.9,17973,15430,217280,259
117,East North Central,IN,Dearborn,44367,10.7,16845,9553,266818,248
118,East North Central,IN,Decatur,24998,9.7,17804,9700,155917,227
119,East North Central,IN,Delaware,118577,16.5,18292,44967,874850,254
120,East North Central,IN,Dubois,38732,10.9,20680,22555,371238,240
121,East North Central,IN,Elkhart,166994,14.2,19476,99970,1273296,335
122,East North Central,IN,Fayette,26430,8.1,17583,9933,161228,225
123,East North Central,IN,Floyd,70058,15.1,19510,19112,314341,267
124,East North Central,IN,Fountain,18060,7.6,16152,3945,88073,183
125,East North Central,IN,Franklin,20957,8.2,15521,2712,57537,200
126,East North Central,IN,Fulton,19922,9.4,16241,6260,101957,225
127,East North Central,IN,Gibson,32165,9.1,17488,9093,187742,192
128,East North Central,IN,Grant,73720,11.2,17398,29680,519127,231
129,East North Central,IN,Greene,32696,9.9,15300,6190,140979,190
130,East North Central,IN,Hamilton,140650,36.2,29156,48762,906399,412
131,East North Central,IN,Hancock,50768,14.9,20933,10378,257195,299
132,East North Central,IN,Harrison,32594,8.4,16395,6143,145058,219
133,East North Central,IN,Hendricks,86620,18.2,21040,15140,436650,327
134,East North Central,IN,Henry,49275,9.2,17665,11365,318444,210
135,East North Central,IN,Howard,83763,14.3,20443,39849,748751,279
136,East North Central,IN,Huntington,36807,11.8,18586,14941,186455,266
137,East North Central,IN,Jackson,40403,8.7,16506,15422,288993,237
138,East North Central,IN,Jasper,27895,10.8,15875,7198,194196,228
139,East North Central,IN,Jay,21901,8.2,14447,6442,94184,181
140,East North Central,IN,Jefferson,30813,13.3,15558,11097,215452,215
141,East North Central,IN,Jennings,26168,6.5,16608,5627,112070,221
142,East North Central,IN,Johnson,101690,16.7,20637,28699,822939,339
