Index,Region,State,County,Population,% College Grad,Income per Capita,Employees,Retail Sales,Median Rent
788,East South Central,TN,Sumner,116845,14.4,18469,28052,545549,339
789,East South Central,TN,Tipton,43423,6.7,15143,7230,191874,215
790,East South Central,TN,Trousdale,6449,7,12287,1623,19662,187
791,East South Central,TN,Unicoi,16819,9.5,15421,3747,61337,184
792,East South Central,TN,Union,15147,4.5,11820,1796,24373,181
793,East South Central,TN,Van Buren,5095,4.1,10718,864,6944,132
794,East South Central,TN,Warren,35225,8.1,15353,13110,210373,209
795,East South Central,TN,Washington,98477,18.9,17759,41243,786218,244
796,East South Central,TN,Wayne,16032,5,12417,3929,47564,145
797,East South Central,TN,Weakley,32346,10.3,14877,9892,143325,184
798,East South Central,TN,White,21304,7.6,13799,5657,123484,180
799,East South Central,TN,Williamson,102061,34.2,28048,38443,793080,407
800,East South Central,TN,Wilson,77150,15.6,18549,16715,389843,310
801,Middle Atlantic,NJ,Atlantic,233996,16.4,24949,111420,2085807,503
802,Middle Atlantic,NJ,Bergen,845189,31.7,34658,415545,9036879,627
803,Middle Atlantic,NJ,Burlington,403337,23.6,24286,136112,3370303,526
804,Middle Atlantic,NJ,Camden,507157,21,22388,167813,3631916,440
805,Middle Atlantic,NJ,Cape May,98340,17.2,23085,23309,1002747,474
806,Middle Atlantic,NJ,Cumberland,138058,10.8,19474,46023,967008,396
807,Middle Atlantic,NJ,Essex,758626,24,27203,332352,4647650,461
808,Middle Atlantic,NJ,Gloucester,243748,18.1,20518,62789,2016744,437
809,Middle Atlantic,NJ,Hudson,550183,19.7,21610,209315,3465977,464
810,Middle Atlantic,NJ,Hunterdon,116516,34.6,31545,35077,964407,630
811,Middle Atlantic,NJ,Mercer,330305,29.5,29385,157426,2726123,507
812,Middle Atlantic,NJ,Middlesex,698494,26.5,25771,321099,5848294,608
813,Middle Atlantic,NJ,Monmouth,585230,28.4,28132,176881,5106529,567
814,Middle Atlantic,NJ,Morris,444354,36.7,34412,230865,4510454,659
815,Middle Atlantic,NJ,Ocean,464822,15.3,22849,89021,3447919,578
816,Middle Atlantic,NJ,Passaic,463466,18.7,22344,161364,3975219,499
817,Middle Atlantic,NJ,Salem,64921,11.8,21681,19412,365096,361
818,Middle Atlantic,NJ,Somerset,265440,38.3,36542,145047,2501040,639
819,Middle Atlantic,NJ,Sussex,140198,24.9,23343,25438,819748,594
820,Middle Atlantic,NJ,Union,496310,25,28659,205342,3748482,530
821,Middle Atlantic,NJ,Warren,96608,19.6,22444,28230,707073,488
822,Middle Atlantic,NY,Albany,289549,28.3,24494,151676,3111176,402
823,Middle Atlantic,NY,Allegany,51390,15.6,13886,11131,211561,232
824,Middle Atlantic,NY,Bronx,1187798,12.2,16682,197380,3155722,392
825,Middle Atlantic,NY,Broome,204436,20.7,19604,85199,1635157,333
826,Middle Atlantic,NY,Cattaraugus,85596,12.8,15402,23929,487466,227
827,Middle Atlantic,NY,Cayuga,82988,13,16567,18277,463152,308
828,Middle Atlantic,NY,Chautauqua,141677,14.2,16724,44898,850116,251
829,Middle Atlantic,NY,Chemung,94082,15.4,17770,32583,678909,291
830,Middle Atlantic,NY,Chenango,51977,13.1,16057,12511,250677,273
831,Middle Atlantic,NY,Clinton,83370,16.5,16022,22986,700398,317
832,Middle Atlantic,NY,Columbia,63703,18.5,19233,12782,325143,350
833,Middle Atlantic,NY,Cortland,49052,18.2,15837,17851,381598,321
834,Middle Atlantic,NY,Delaware,47584,13.2,15080,12721,317363,279
835,Middle Atlantic,NY,Dutchess,262062,24.8,22797,81655,2018443,530
836,Middle Atlantic,NY,Erie,962046,20,20344,386419,7396918,292
837,Middle Atlantic,NY,Essex,37887,15.8,17091,9028,247772,294
838,Middle Atlantic,NY,Franklin,49400,11.7,14307,9861,295419,253
839,Middle Atlantic,NY,Fulton,54106,11.4,16938,13246,307788,256
840,Middle Atlantic,NY,Genesee,61316,14,17977,16192,354936,322
841,Middle Atlantic,NY,Greene,47660,13.4,16654,9449,274801,336
842,Middle Atlantic,NY,Hamilton,5208,15.1,18327,836,28350,253
843,Middle Atlantic,NY,Herkimer,66354,12.9,15733,13395,327224,250
844,Middle Atlantic,NY,Jefferson,114712,13.6,15696,25718,875462,334
845,Middle Atlantic,NY,Kings,2244021,16.6,19506,396681,7284058,428
846,Middle Atlantic,NY,Lewis,27711,10.5,14101,4513,98598,275
847,Middle Atlantic,NY,Livingston,65770,18.1,17219,11728,340725,322
848,Middle Atlantic,NY,Madison,71490,18.2,17529,15664,388977,322
849,Middle Atlantic,NY,Monroe,723177,26.3,23416,352315,5742060,418
850,Middle Atlantic,NY,Montgomery,52068,10.8,17431,15414,350205,245
851,Middle Atlantic,NY,Nassau,1305772,30,32966,520076,14085920,678
852,Middle Atlantic,NY,New York,1518910,42.2,52277,1798630,17817174,478
853,Middle Atlantic,NY,Niagara,222006,13.6,18563,66821,1631175,288
854,Middle Atlantic,NY,Oneida,242208,16.7,17900,84396,1753891,297
855,Middle Atlantic,NY,Onondaga,469818,24.4,20630,218262,3893046,376
856,Middle Atlantic,NY,Ontario,99138,19.5,20337,31196,821247,364
857,Middle Atlantic,NY,Orange,322892,19.5,20164,81141,2491974,513
858,Middle Atlantic,NY,Orleans,45144,10.7,15348,7175,161825,291
859,Middle Atlantic,NY,Oswego,125794,12.9,17012,25919,707342,311
860,Middle Atlantic,NY,Otsego,61575,19.9,16602,16216,452742,304
861,Middle Atlantic,NY,Putnam,90320,27.8,25153,14275,391409,672
862,Middle Atlantic,NY,Queens,1963628,20.6,23608,414590,7718210,513
863,Middle Atlantic,NY,Rensselaer,155684,19.5,19558,40346,838317,344
864,Middle Atlantic,NY,Richmond,397719,20.7,24223,69214,1888896,509
865,Middle Atlantic,NY,Rockland,276898,33,26870,90565,1912634,633
866,Middle Atlantic,NY,Saratoga,194332,25.2,20768,41773,1340055,418
867,Middle Atlantic,NY,Schenectady,148888,23,22640,53638,1070154,365
868,Middle Atlantic,NY,Schoharie,32840,14.4,15637,5077,152757,299
869,Middle Atlantic,NY,Schuyler,19247,13.6,14264,2935,90473,265
870,Middle Atlantic,NY,Seneca,32593,14.2,17849,7655,181835,308
871,Middle Atlantic,NY,St. Lawrence,115482,15.1,14246,29541,779094,261
872,Middle Atlantic,NY,Steuben,99949,14.4,17663,27432,610974,262
873,Middle Atlantic,NY,Suffolk,1353704,23,24432,435509,11102170,696
874,Middle Atlantic,NY,Sullivan,70452,14.4,19113,19515,429917,390
875,Middle Atlantic,NY,Tioga,52967,18,17015,10323,240428,300
876,Middle Atlantic,NY,Tompkins,96384,41.7,16702,40337,622634,426
877,Middle Atlantic,NY,Ulster,167862,21.6,19624,43231,1135277,450
878,Middle Atlantic,NY,Warren,61544,19.4,19763,30124,741257,369
879,Middle Atlantic,NY,Washington,61015,11.6,15021,10645,240629,319
880,Middle Atlantic,NY,Wayne,93971,14,18567,19295,488366,316
881,Middle Atlantic,NY,Westchester,890918,35.3,35945,356364,7653782,543
882,Middle Atlantic,NY,Wyoming,44083,9.7,14425,10173,198946,266
883,Middle Atlantic,NY,Yates,24154,15,15035,4162,104633,262
884,Middle Atlantic,PA,Adams,83998,13.2,18202,25159,399660,300
885,Middle Atlantic,PA,Allegheny,1309821,22.6,24406,646033,11057157,315
886,Middle Atlantic,PA,Armstrong,74569,8.1,16340,16004,392698,205
887,Middle Atlantic,PA,Beaver,187979,11.9,17585,44366,984796,230
888,Middle Atlantic,PA,Bedford,49192,7.8,14531,11038,321235,189
889,Middle Atlantic,PA,Berks,349583,15.1,21452,134947,2810289,342
890,Middle Atlantic,PA,Blair,131647,10.5,17157,46870,1101056,224
891,Middle Atlantic,PA,Bradford,62260,12.9,15966,17175,416286,231
892,Middle Atlantic,PA,Bucks,573901,24.8,24756,199892,5476457,524
893,Middle Atlantic,PA,Butler,165557,15.6,19222,49493,1081525,275
894,Middle Atlantic,PA,Cambria,160531,10.8,16740,48131,1033030,191
895,Middle Atlantic,PA,Cameron,5707,9.8,18585,1743,40259,184
896,Middle Atlantic,PA,Carbon,58832,8.4,16907,13121,287929,255
897,Middle Atlantic,PA,Centre,131968,32.3,17011,40867,899170,401
898,Middle Atlantic,PA,Chester,404945,34.7,30065,153575,3826447,496
899,Middle Atlantic,PA,Clarion,42338,11.7,15427,10074,254779,209
900,Middle Atlantic,PA,Clearfield,79724,8.6,16286,24260,590869,207
901,Middle Atlantic,PA,Clinton,37215,11.7,15676,9074,262400,214
902,Middle Atlantic,PA,Columbia,64492,12.5,16626,21297,457787,241
903,Middle Atlantic,PA,Crawford,89173,11.8,16079,24637,536367,210
904,Middle Atlantic,PA,Cumberland,205959,22.9,22493,100504,2094026,378
905,Middle Atlantic,PA,Dauphin,246338,18.6,22214,120914,2039235,357
906,Middle Atlantic,PA,Delaware,548708,24.8,25172,202453,4420712,445
907,Middle Atlantic,PA,Elk,35125,9.5,19099,13923,180705,209
908,Middle Atlantic,PA,Erie,280460,16.2,18604,110895,2117235,248
909,Middle Atlantic,PA,Fayette,146827,9.3,15689,34846,1082334,196
910,Middle Atlantic,PA,Forest,5001,7.9,13695,881,21433,191
911,Middle Atlantic,PA,Franklin,126444,12.4,18229,37905,801867,273
912,Middle Atlantic,PA,Fulton,14362,7.4,14283,3087,55452,210
913,Middle Atlantic,PA,Greene,41114,11.3,14587,7822,206076,187
914,Middle Atlantic,PA,Huntingdon,44933,9.4,14022,9320,189202,197
915,Middle Atlantic,PA,Indiana,90604,14.4,15598,22197,566373,254
916,Middle Atlantic,PA,Jefferson,46620,8.9,16566,12750,271148,203
917,Middle Atlantic,PA,Juniata,21701,7.3,15619,4753,88736,184
918,Middle Atlantic,PA,Lackawanna,215688,14.8,19406,86048,1628040,253
919,Middle Atlantic,PA,Lancaster,447521,16.7,20671,183263,3435707,363
920,Middle Atlantic,PA,Lawrence,96604,11.8,16407,26973,561824,211
921,Middle Atlantic,PA,Lebanon,116789,11.8,19071,36205,847490,293
922,Middle Atlantic,PA,Lehigh,297838,19.6,22397,138383,2766836,400
923,Middle Atlantic,PA,Luzerne,326063,13.1,19080,117323,2451218,243
924,Middle Atlantic,PA,Lycoming,120194,12.3,17660,44097,938631,256
925,Middle Atlantic,PA,McKean,48503,12.2,16338,14367,278584,219
926,Middle Atlantic,PA,Mercer,122254,13.6,16581,39538,850310,221
927,Middle Atlantic,PA,Mifflin,47066,8.7,15041,14218,313359,204
928,Middle Atlantic,PA,Monroe,116091,17.6,17859,31425,880300,432
929,Middle Atlantic,PA,Montgomery,705178,32.1,32753,427370,7648812,521
930,Middle Atlantic,PA,Montour,18223,18.7,23591,10706,123463,256
931,Middle Atlantic,PA,Northampton,256796,16.7,20548,77558,1452098,381
932,Middle Atlantic,PA,Northumberland,96260,8.6,17206,25807,587099,205
933,Middle Atlantic,PA,Perry,43531,8.9,16552,5046,171809,262
934,Middle Atlantic,PA,Philadelphia,1498971,15.2,19663,587345,8203519,358
935,Middle Atlantic,PA,Pike,36852,14.7,17245,5022,113103,445
936,Middle Atlantic,PA,Potter,17090,9.8,16033,5095,83616,216
937,Middle Atlantic,PA,Schuylkill,153616,8.1,17350,42802,902602,222
938,Middle Atlantic,PA,Snyder,37845,10.6,19659,11846,319989,234
939,Middle Atlantic,PA,Somerset,80113,8.9,16535,20772,446598,196
940,Middle Atlantic,PA,Sullivan,6184,8.6,16802,1249,29185,179
941,Middle Atlantic,PA,Susquehanna,41800,11.1,16361,6073,187349,254
942,Middle Atlantic,PA,Tioga,41534,12.6,15499,10237,230107,202
943,Middle Atlantic,PA,Union,40928,17.5,18650,12200,217391,276
944,Middle Atlantic,PA,Venango,59057,10.8,19475,15933,396400,209
945,Middle Atlantic,PA,Warren,44928,10.7,19239,15210,773712,228
946,Middle Atlantic,PA,Washington,208017,13.6,19480,58902,1316211,241
947,Middle Atlantic,PA,Wayne,44070,13.1,16930,11634,348607,299
948,Middle Atlantic,PA,Westmoreland,376501,15.4,19617,109232,2497306,247
949,Middle Atlantic,PA,Wyoming,29316,13.2,16743,8883,165215,267
950,Middle Atlantic,PA,York,362793,13.9,20504,138593,3075798,329
951,Mountain,AZ,Apache,67803,8.5,9769,6095,150468,162
952,Mountain,AZ,Cochise,110062,16.1,14509,18661,545882,287
953,Mountain,AZ,Coconino,110498,24.6,14863,29668,894725,371
954,Mountain,AZ,Gila,46039,9.7,14271,9887,264999,246
955,Mountain,AZ,Graham,29589,11.3,11276,3354,147356,221
956,Mountain,AZ,Greenlee,9232,10.4,15304,0,22707,162
957,Mountain,AZ,La Paz,14310,8.5,19323,2537,89219,259
958,Mountain,AZ,Maricopa,2432372,22.1,20196,898129,18526493,394
959,Mountain,AZ,Mohave,121602,10.3,14787,24879,922746,375
960,Mountain,AZ,Navajo,89253,10,10659,12958,432179,213
961,Mountain,AZ,Pima,752428,23.3,17271,224433,5376148,338
962,Mountain,AZ,Pinal,131210,8.2,13534,24437,592399,283
963,Mountain,AZ,Santa Cruz,36078,10.8,12260,10522,343732,280
964,Mountain,AZ,Yavapai,134595,17.7,15733,29146,868166,342
965,Mountain,AZ,Yuma,132869,12.7,13529,27996,821336,336
966,Mountain,CO,Adams,303297,13,17425,96339,2098049,373
967,Mountain,CO,Alamosa,14215,24.1,15708,4083,128571,241
968,Mountain,CO,Arapahoe,449103,35.2,26048,195330,4921769,404
969,Mountain,CO,Archuleta,7100,19.7,13966,1432,37828,285
970,Mountain,CO,Baca,4384,13.6,22824,579,26122,148
971,Mountain,CO,Bent,5518,14.6,17835,1016,11057,207
972,Mountain,CO,Boulder,253850,42.1,24612,112123,2191378,449
973,Mountain,CO,Chaffee,14413,15.2,14890,3847,92669,247
974,Mountain,CO,Cheyenne,2312,11.9,28210,327,9914,224
975,Mountain,CO,Clear Creek,8745,31.2,20409,2032,46107,335
976,Mountain,CO,Conejos,7807,10.7,10764,720,17763,150
977,Mountain,CO,Costilla,3384,10.5,14523,214,5940,116
978,Mountain,CO,Crowley,4303,8,12513,247,9225,167
979,Mountain,CO,Custer,2702,19.2,18215,354,8834,223
980,Mountain,CO,Delta,25077,13.6,14960,3903,118002,219
981,Mountain,CO,Denver,494462,29,25408,351837,3911888,339
982,Mountain,CO,Dolores,1588,9.8,18352,173,3872,202
983,Mountain,CO,Douglas,99577,40.7,27265,14749,359108,520
984,Mountain,CO,Eagle,28844,33,25800,19528,370476,544
985,Mountain,CO,El Paso,465800,25.8,18841,146463,3525696,364
986,Mountain,CO,Elbert,14565,19.8,19824,964,18295,370
987,Mountain,CO,Fremont,39794,11.8,14068,6546,151722,265
988,Mountain,CO,Garfield,35338,21.6,18459,10223,363609,359
989,Mountain,CO,Gilpin,3576,29.5,21583,2847,5935,351
990,Mountain,CO,Grand,9188,30.2,19220,4634,74632,367
991,Mountain,CO,Gunnison,11931,36.9,15931,5419,107376,297
992,Mountain,CO,Hinsdale,648,32,19597,128,4414,275
993,Mountain,CO,Huerfano,6356,12.6,14119,871,27377,173
994,Mountain,CO,Jackson,1537,15.3,17446,303,8500,223
995,Mountain,CO,Jefferson,484869,30.7,23377,138601,3850162,416
996,Mountain,CO,Kiowa,1627,9.1,28030,210,5049,179
997,Mountain,CO,Kit Carson,7301,15.8,21807,1610,61971,206
998,Mountain,CO,La Plata,38314,28.1,18487,12457,319145,354
999,Mountain,CO,Lake,6296,16.2,16660,1318,26742,271
1000,Mountain,CO,Larimer,217215,32.3,19189,69921,1665086,368
1001,Mountain,CO,Las Animas,14268,12.7,14379,2186,66438,167
1002,Mountain,CO,Lincoln,5602,12.9,22957,1068,45314,226
1003,Mountain,CO,Logan,17869,14.2,18930,4963,152308,214
1004,Mountain,CO,Mesa,106548,17.4,17522,30815,788849,275
1005,Mountain,CO,Mineral,634,17.9,18129,83,3690,231
1006,Mountain,CO,Moffat,12136,16.4,18066,3370,88083,251
1007,Mountain,CO,Montezuma,21591,15.9,15716,5317,159492,257
1008,Mountain,CO,Montrose,28829,15.4,16521,7872,222927,257
1009,Mountain,CO,Morgan,23729,11.7,19759,6751,122963,245
1010,Mountain,CO,Otero,20788,13,16084,4391,111990,201
1011,Mountain,CO,Ouray,3033,27.9,17844,573,15091,291
1012,Mountain,CO,Park,10589,22.4,18508,677,19783,366
1013,Mountain,CO,Phillips,4309,14.2,20114,811,19731,171
1014,Mountain,CO,Pitkin,13589,49.8,39481,14749,292946,663
1015,Mountain,CO,Prowers,13591,12.2,17172,3349,87657,196
1016,Mountain,CO,Pueblo,129759,14,16347,36299,913845,252
1017,Mountain,CO,Rio Blanco,6472,15.4,16697,1826,24443,249
1018,Mountain,CO,Rio Grande,11262,17.5,17483,2275,49961,214
1019,Mountain,CO,Routt,16709,34.7,23769,11926,169562,396
1020,Mountain,CO,Saguache,5514,14.4,15011,536,15748,174
1021,Mountain,CO,San Juan,546,24,15689,88,7401,276
1022,Mountain,CO,San Miguel,4929,40.3,20502,3032,52037,447
1023,Mountain,CO,Sedgwick,2606,8.6,20573,466,21011,138
1024,Mountain,CO,Summit,17204,39.7,25753,15937,300418,492
1025,Mountain,CO,Teller,17478,26.4,18814,3509,75030,387
1026,Mountain,CO,Washington,4687,11.8,23073,704,14866,167
1027,Mountain,CO,Weld,148014,18.4,17145,43258,798229,307
1028,Mountain,CO,Yuma,9264,13.4,20083,1706,49565,203
1029,Mountain,ID,Ada,251831,24.9,22445,106178,2068485,340
1030,Mountain,ID,Adams,3877,10.8,15657,499,10315,180
1031,Mountain,ID,Bannock,72115,19.8,15630,18882,532466,237
1032,Mountain,ID,Bear Lake,6600,11.4,13265,1033,34428,175
1033,Mountain,ID,Benewah,8780,8.8,16140,2177,36802,172
1034,Mountain,ID,Bingham,41188,13.1,14769,8298,159295,207
1035,Mountain,ID,Blaine,16471,33,25715,8114,172389,410
1036,Mountain,ID,Boise,4768,14.4,15356,489,7266,201
1037,Mountain,ID,Bonner,33080,15.2,15765,7769,231389,251
1038,Mountain,ID,Bonneville,79531,23.2,18621,33827,718199,293
1039,Mountain,ID,Boundary,9548,13.3,13566,1882,52815,217
1040,Mountain,ID,Butte,3008,13.5,14484,331,9858,158
1041,Mountain,ID,Camas,848,15,18705,112,1310,171
1042,Mountain,ID,Canyon,108510,12,14686,27704,670122,232
1043,Mountain,ID,Caribou,7280,11.8,15282,2136,34860,190
1044,Mountain,ID,Cassia,21095,14,18101,6006,167998,193
1045,Mountain,ID,Clark,822,14.1,29637,64,3778,189
1046,Mountain,ID,Clearwater,9115,11.4,16002,2317,43746,194
1047,Mountain,ID,Custer,4316,15.6,16529,459,12312,219
1048,Mountain,ID,Elmore,23181,15.8,17326,3339,104439,242
1049,Mountain,ID,Franklin,10286,14.3,12457,1348,51378,192
1050,Mountain,ID,Fremont,11532,11.1,12686,1497,36985,192
1051,Mountain,ID,Gem,13856,8.6,15714,1983,41341,192
1052,Mountain,ID,Gooding,12980,13.3,17753,1980,40462,180
1053,Mountain,ID,Idaho,14789,12.7,15216,2459,55797,188
1054,Mountain,ID,Jefferson,18786,11.8,13719,2507,38631,221
1055,Mountain,ID,Jerome,17017,11,16964,3142,98863,189
1056,Mountain,ID,Kootenai,91678,16,17838,25097,720150,296
1057,Mountain,ID,Latah,32860,35.8,16499,7385,213737,264
1058,Mountain,ID,Lemhi,7973,11.8,15143,1347,49012,196
1059,Mountain,ID,Lewis,3937,13.2,17635,848,14510,164
1060,Mountain,ID,Lincoln,3729,11.9,15455,428,6769,171
1061,Mountain,ID,Madison,23811,19.2,10882,7993,148347,239
1062,Mountain,ID,Minidoka,21065,9,13718,4792,61713,184
1063,Mountain,ID,Nez Perce,36549,15.6,18834,15075,386072,249
1064,Mountain,ID,Oneida,3843,12.9,13126,450,15110,201
1065,Mountain,ID,Owyhee,9520,8.7,13978,964,24624,172
1066,Mountain,ID,Payette,19532,9.8,14500,3776,59687,208
1067,Mountain,ID,Power,7986,11.1,18202,1944,24258,190
1068,Mountain,ID,Shoshone,14042,9,14924,2828,88120,169
1069,Mountain,ID,Teton,4706,17.4,12506,563,20960,229
1070,Mountain,ID,Twin Falls,59480,13.3,16700,20300,564820,235
1071,Mountain,ID,Valley,7877,19.4,18154,2166,58937,265
1072,Mountain,ID,Washington,9463,10.3,14537,1860,44685,183
1073,Mountain,MT,Beaverhead,9008,20.6,16704,1859,52898,195
1074,Mountain,MT,Big Horn,12215,12.8,12728,1956,45385,178
1075,Mountain,MT,Blaine,7032,14.4,14382,1006,30472,159
1076,Mountain,MT,Broadwater,3885,13.5,15813,576,11127,216
1077,Mountain,MT,Carbon,9029,19.2,17388,1453,40011,211
1078,Mountain,MT,Carter,1464,10.8,17576,105,2849,144
1079,Mountain,MT,Cascade,81091,18.4,18369,24708,730186,275
1080,Mountain,MT,Chouteau,5492,16.8,23762,686,21861,189
1081,Mountain,MT,Custer,12193,16,17356,3438,94162,225
1082,Mountain,MT,Daniels,2140,11.5,22718,446,8877,173
1083,Mountain,MT,Dawson,9095,13.2,17402,2305,54040,205
1084,Mountain,MT,Deer Lodge,10149,11.5,14439,2586,50253,148
1085,Mountain,MT,Fallon,3003,10.6,17103,628,15337,174
1086,Mountain,MT,Fergus,12689,14.5,17127,2742,76439,199
1087,Mountain,MT,Flathead,69512,17.2,17347,21947,603257,272
1088,Mountain,MT,Gallatin,59406,33.8,17032,19315,535817,292
1089,Mountain,MT,Garfield,1419,8.8,20856,161,4052,173
1090,Mountain,MT,Glacier,12677,14.5,14093,2147,78426,147
1091,Mountain,MT,Golden Valley,980,14.7,18567,45,0,168
1092,Mountain,MT,Granite,2619,16.9,15366,346,9009,177
1093,Mountain,MT,Hill,17668,18.1,17672,4172,135009,228
1094,Mountain,MT,Jefferson,9233,20.8,18067,1186,18447,215
1095,Mountain,MT,Judith Basin,2281,19.8,19208,175,4018,153
1096,Mountain,MT,Lake,24479,15.7,14756,3984,124368,207
1097,Mountain,MT,Lewis and Clark,52785,27.8,18469,18618,413600,279
1098,Mountain,MT,Liberty,2246,16.9,27382,310,9550,202
1099,Mountain,MT,Lincoln,18678,12.5,13674,4171,93194,205
1100,Mountain,MT,Madison,6662,19.7,14963,799,27287,224
1101,Mountain,MT,McCone,2121,14.3,18256,293,7152,181
1102,Mountain,MT,Meagher,1826,14.4,18866,277,7796,192
1103,Mountain,MT,Mineral,3626,13.1,11954,822,18116,187
1104,Mountain,MT,Missoula,87130,27.7,17711,32097,863832,273
1105,Mountain,MT,Musselshell,4491,11.4,14584,691,15146,175
1106,Mountain,MT,Park,15856,19.3,15041,4191,81456,224
1107,Mountain,MT,Petroleum,527,17.5,19281,21,977,175
1108,Mountain,MT,Phillips,5151,13.1,18263,1053,26142,195
1109,Mountain,MT,Pondera,6274,15,20714,1250,38195,194
1110,Mountain,MT,Powder River,2011,15.3,16211,147,7350,217
1111,Mountain,MT,Powell,6859,16.6,14313,1058,21073,188
1112,Mountain,MT,Prairie,1342,13.2,19234,153,1999,158
1113,Mountain,MT,Ravalli,32230,18.2,14414,5561,150145,232
1114,Mountain,MT,Richland,10351,13.4,17285,2844,68191,210
1115,Mountain,MT,Roosevelt,11243,11.3,13531,1851,64329,173
1116,Mountain,MT,Rosebud,10881,13.4,16500,2820,54791,206
1117,Mountain,MT,Sanders,10089,14.8,12771,1421,32518,173
1118,Mountain,MT,Sheridan,4431,11.7,19683,1094,21319,193
1119,Mountain,MT,Silver Bow,34795,17.9,17606,11042,285244,189
1120,Mountain,MT,Stillwater,7466,16.9,16806,1482,33451,235
1121,Mountain,MT,Sweet Grass,3374,20,17479,611,30115,195
1122,Mountain,MT,Teton,6371,17.8,16881,847,21828,202
1123,Mountain,MT,Toole,5103,14,20979,1393,24069,189
1124,Mountain,MT,Treasure,837,13.2,19208,111,0,179
1125,Mountain,MT,Valley,8462,13.2,18064,1734,48573,206
1126,Mountain,MT,Wheatland,2425,10.6,18515,306,9506,140
1127,Mountain,MT,Wibaux,1170,10.9,15618,112,1264,175
1128,Mountain,MT,Yellowstone,124655,21.5,19676,48130,1221713,289
1129,Mountain,MT,Yellowstone National Park (Part),54,0,0,0,0,207
1130,Mountain,NM,Bernalillo,522328,26.7,19854,217235,4676502,351
1131,Mountain,NM,Catron,2719,18.7,13095,145,5098,197
1132,Mountain,NM,Chaves,61770,14.3,15661,14767,369360,267
1133,Mountain,NM,Cibola,25166,8.8,10166,3178,116857,158
1134,Mountain,NM,Colfax,13860,14.7,15849,3657,101680,192
1135,Mountain,NM,Curry,47464,13.7,15107,10067,321688,290
1136,Mountain,NM,De Baca,2373,11.4,14729,326,8365,162
1137,Mountain,NM,Dona Ana,158849,21.9,13228,29498,818549,290
1138,Mountain,NM,Eddy,52758,10.9,15955,14386,317797,238
1139,Mountain,NM,Grant,30076,16.4,13569,6939,152513,201
1140,Mountain,NM,Guadalupe,4075,6.1,11821,765,36716,167
1141,Mountain,NM,Harding,913,15.7,13287,70,0,125
1142,Mountain,NM,Hidalgo,6259,11.7,14585,1484,36668,99
1143,Mountain,NM,Lea,56793,11.5,15205,15710,355439,241
1144,Mountain,NM,Lincoln,14853,16.1,16985,3197,135525,268
1145,Mountain,NM,Los Alamos,18604,53.4,28753,6369,83922,403
1146,Mountain,NM,Luna,22121,11.1,12140,2793,120783,206
1147,Mountain,NM,McKinley,66991,11.1,10256,12484,490197,221
1148,Mountain,NM,Mora,4581,14.2,10235,207,0,161
1149,Mountain,NM,Otero,55027,15,13698,10503,278600,291
1150,Mountain,NM,Quay,10488,9.9,15048,2283,88768,196
1151,Mountain,NM,Rio Arriba,36959,10.3,10936,5596,167220,191
1152,Mountain,NM,Roosevelt,18465,18.1,15672,3128,94338,217
1153,Mountain,NM,San Juan,100470,12.3,14020,27803,712213,272
1154,Mountain,NM,San Miguel,28490,16.2,11771,4768,151327,193
1155,Mountain,NM,Sandoval,79781,19.1,15313,12647,169981,376
1156,Mountain,NM,Santa Fe,116414,32.3,21170,36586,1151482,425
1157,Mountain,NM,Sierra,10600,8.5,14135,1501,51197,186
1158,Mountain,NM,Socorro,15853,17.1,12453,2214,68073,221
1159,Mountain,NM,Taos,25581,18.5,12620,7419,189726,281
1160,Mountain,NM,Torrance,12835,10.9,12579,1132,45438,233
1161,Mountain,NM,Union,4139,12,16173,677,15822,197
1162,Mountain,NM,Valencia,57746,12.1,14489,6467,254494,270
1163,Mountain,NV,Carson City,46283,16.3,23558,15491,541143,406
1164,Mountain,NV,Churchill,21096,13.1,17728,3935,119540,377
1165,Mountain,NV,Clark,992593,13.8,22148,377113,7542404,461
1166,Mountain,NV,Douglas,34695,20,28087,16339,154553,539
1167,Mountain,NV,Elko,41732,13.3,20482,13555,259568,359
1168,Mountain,NV,Esmeralda,1185,11.1,35465,216,1131,248
1169,Mountain,NV,Eureka,1413,13.6,24269,2449,5155,293
1170,Mountain,NV,Humboldt,16038,12.2,20608,4029,117083,361
1171,Mountain,NV,Lander,6473,10.8,19264,1723,27318,277
1172,Mountain,NV,Lincoln,3837,13.1,19189,339,11722,180
1173,Mountain,NV,Lyon,25867,9.4,18539,3695,73065,313
1174,Mountain,NV,Mineral,6182,9.1,19473,1608,20106,328
1175,Mountain,NV,Nye,24563,9.5,16833,7133,74771,304
1176,Mountain,NV,Pershing,4526,7.2,17816,975,29750,299
1177,Mountain,NV,Storey,2835,17.6,20226,236,7732,343
1178,Mountain,NV,Washoe,290833,20.7,26671,129683,2751427,429
1179,Mountain,NV,White Pine,9957,11.4,17092,1712,54770,285
1180,Mountain,UT,Beaver,5383,9,14250,950,25375,190
1181,Mountain,UT,Box Elder,39590,17.6,15806,13035,188449,258
1182,Mountain,UT,Cache,77298,30,14331,23402,376290,268
1183,Mountain,UT,Carbon,20653,12.5,15677,5045,138701,223
1184,Mountain,UT,Daggett,770,11.7,14071,135,0,187
1185,Mountain,UT,Davis,215382,23.5,15651,40154,1139663,329
